Viewpoint,Viewpoint_Weight,Dimension,Dimension_Weight,Element,Element_Weight,Measure,Measure_Weight,Metric,Metric_Weight,Extraction_Rule,Evaluation_Rule,Extraction_Rule_value,Score,Measure_Score,Element_Score,Dimension_Score,Viewpoint_Score
serviceAndDataset,1,serviceQuality,6,serviceRobustness,5,availability,5,daysOfAvailabilityMetrics,0,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//daysOfAvailabilityMetrics', 'value': 'text'}","{'type': 'presence', 'descritpiton': 'Checks presence'}",180,5,3.967741935483871,3.9677419354838706,3.9677419354838706,3.8166385035447283
serviceAndDataset,1,serviceQuality,6,serviceRobustness,5,availability,5,daysOfResponseTimeMetrics,0,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//daysOfResponseTimeMetrics', 'value': 'text'}","{'type': 'presence', 'descritpiton': 'Checks presence'}",14,5,3.967741935483871,3.9677419354838706,3.9677419354838706,3.8166385035447283
serviceAndDataset,1,serviceQuality,6,serviceRobustness,5,availability,5,serviceId,0,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//serviceId', 'value': 'text'}","{'type': 'presence', 'descritpiton': 'Checks presence'}",157353,5,3.967741935483871,3.9677419354838706,3.9677419354838706,3.8166385035447283
serviceAndDataset,1,serviceQuality,6,serviceRobustness,5,availability,5,availability_ok_ms,1,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//ok', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",15238119936,5,3.967741935483871,3.9677419354838706,3.9677419354838706,3.8166385035447283
serviceAndDataset,1,serviceQuality,6,serviceRobustness,5,availability,5,availability_down_ms,1,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//down', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",229413100,5,3.967741935483871,3.9677419354838706,3.9677419354838706,3.8166385035447283
serviceAndDataset,1,serviceQuality,6,serviceRobustness,5,availability,5,availability_maintenance_ms,1,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//maintenance', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",0,5,3.967741935483871,3.9677419354838706,3.9677419354838706,3.8166385035447283
serviceAndDataset,1,serviceQuality,6,serviceRobustness,5,availability,5,availability,8,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '(//services//availability//total//ok + //services//availability//total//maintenance) div (//services//availability//total//ok + //services//availability//total//maintenance + //services//availability//total//down)', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.95, 'operator': '>', 'description': 'We assume the service should be available state at least 95% of the time from when the statistics are calculated. Availability = (ok + maintenance) / (ok + down + maintenance)'}",0,1,3.967741935483871,3.9677419354838706,3.9677419354838706,3.8166385035447283
serviceAndDataset,1,serviceQuality,6,serviceRobustness,5,availability,5,interruptions_longest,4,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//interruptions//longest', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 86400000, 'operator': '<', 'description': 'We assume it should be at most 24h. Null if no monitoring data is available for the period.'}",303293,5,3.967741935483871,3.9677419354838706,3.9677419354838706,3.8166385035447283
serviceAndDataset,1,serviceQuality,6,serviceRobustness,5,availability,5,interruptions_average,4,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//interruptions//average', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 43200000, 'operator': '<', 'description': 'We assume it should be at most 12h. Null if no monitoring data is available for the period.'}",3427343.3829787234,5,3.967741935483871,3.9677419354838706,3.9677419354838706,3.8166385035447283
serviceAndDataset,1,serviceQuality,6,serviceRobustness,5,availability,5,responseTimeAverage,4,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//responseTime//averageMillis', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 21600000, 'operator': '<', 'description': 'We assume it should be at most 6h. Null if no monitoring data is available for the period.'}",586.6378662659654,5,3.967741935483871,3.9677419354838706,3.9677419354838706,3.8166385035447283
